n_all,n_strata,RR_star_lower,RR_star_upper,response,haplo_freq_most_common_allele_stratum_1,n_triads_per_stratum,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,0.95,216,0.05,1,1,1,1,0.95,0.95,0.05
2,3,1,1,mult,0.7,233,0.05,1,1,1,1,0.7,0.7,0.05
2,3,1,1,mult,0.8,233,0.05,1,1,1,1,0.8,0.8,0.05
2,3,1,1,mult,0.85,233,0.05,1,1,1,1,0.85,0.85,0.05
2,3,1,1,mult,0.9,233,0.05,1,1,1,1,0.9,0.9,0.05
2,3,1,1,mult,0.95,233,0.05,1,1,1,1,0.95,0.95,0.05
2,3,1,1,mult,0.7,250,0.05,1,1,1,1,0.7,0.7,0.05
2,3,1,1,mult,0.8,250,0.05,1,1,1,1,0.8,0.8,0.05
2,3,1,1,mult,0.85,250,0.05,1,1,1,1,0.85,0.85,0.05
2,3,1,1,mult,0.9,250,0.05,1,1,1,1,0.9,0.9,0.05
2,3,1,1,mult,0.95,250,0.05,1,1,1,1,0.95,0.95,0.05
2,3,1,1,mult,0.7,266,0.05,1,1,1,1,0.7,0.7,0.05
2,3,1,1,mult,0.8,266,0.05,1,1,1,1,0.8,0.8,0.05
2,3,1,1,mult,0.85,266,0.05,1,1,1,1,0.85,0.85,0.05
2,3,1,1,mult,0.9,266,0.05,1,1,1,1,0.9,0.9,0.05
2,3,1,1,mult,0.95,266,0.05,1,1,1,1,0.95,0.95,0.05
2,3,1,1,mult,0.7,16,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,16,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,16,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,16,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,16,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,33,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,33,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,33,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,33,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,33,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,50,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,50,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,50,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,50,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,50,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,66,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,66,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,66,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,66,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,66,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,83,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,83,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,83,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,83,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,83,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,100,5e-5,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,100,5e-5,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,100,5e-5,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,100,5e-5,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,100,5e-5,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,116,5e-5,1,1,1,1,0.7,0.7,0
